Date,Stock Symbol,Open Price,Close Price,Volume,Moving Average (50-day),RSI (Relative Strength Index)
2024-01-01,AAPL,249.81604753894499,240.44463125267967,768234,240.44463125267967,0.0
2024-01-02,AAPL,480.2857225639665,483.01393078924207,478480,361.72928102096085,99.9999999991755
2024-01-03,AAPL,392.797576724562,389.08469634608855,891971,370.84775279600336,72.08628717206294
2024-01-04,AAPL,339.46339367881467,339.63480750210874,601157,363.0445164725297,62.85018546243832
2024-01-05,AAPL,162.40745617697462,170.55878565549648,4478727,324.5473703091231,43.70425516635878
2024-01-08,AAPL,162.39780813448107,157.38365271745857,4224499,296.68675071051234,42.69086234717363
2024-01-09,AAPL,123.23344486727979,121.44110332799238,2713501,271.6516582272952,40.151032131985446
2024-01-10,AAPL,446.47045830997405,451.58148108083503,3021944,294.14288608398766,61.2994115133675
2024-01-11,AAPL,340.4460046972835,335.02196800711596,4427576,298.6850062976686,54.50007399496815
2024-01-12,AAPL,383.2290311184182,374.7686293149941,3183153,306.2933685994011,56.15832534397662
2024-01-15,AAPL,108.23379771832097,104.02882677659633,2899487,287.90568297914615,44.98960734595926
2024-01-16,AAPL,487.96394086479773,481.18836660987785,3004941,304.01257328170715,56.923940008953124
2024-01-17,AAPL,432.9770563201687,441.57100936702017,2200021,314.59399144211585,55.65563718843324
2024-01-18,AAPL,184.93564427131048,191.09805186259882,1460828,305.7728529007218,48.783715212720544
2024-01-19,AAPL,172.72998688284025,175.39806201304873,718467,297.0812001748769,48.40905789532939
2024-01-22,AAPL,173.36180394137352,180.79101574512788,2235619,289.8130636480176,41.63791201738867
2024-01-23,AAPL,221.69689718381508,227.77033872179737,4055488,286.16349159353405,45.417601680738436
2024-01-24,AAPL,309.9025726528952,303.6339738306159,4774351,287.1340739400386,48.992457110142794
2024-01-25,AAPL,272.7780074568463,280.62918742664584,1807923,286.7917114919653,53.354793216676164
2024-01-26,AAPL,216.49165607921677,217.27850091752978,228391,283.3160509632435,51.77133454387677
2024-01-29,AAPL,344.74115788895176,350.889960992233,1117026,286.5338562027192,56.41513862905432
